,X7,X9,X11,X14,X18,X20,X21,X22,X24,X26,X29,X30,X34,X48,X49,X50,X52,y
1024,169.41,0.5666691843613512,42.49,0.011279552858409805,0.5260889310524594,2.61,6.88,3.45,6.21,-0.06,81.73,2.06,0.99,41.09,0.008311591971912823,0.006421189086775745,0.12399383888064908,0
1035,87.26,0.6019113991769097,42.76,0.0026094521105281283,0.7846662924963128,0.49,6.03,2.64,3.48,1.17,94.42,3.44,2.05,21.14,0.3399490561990122,0.10860677306128301,-0.08829561771647414,0
1046,44.0,0.1941785874610953,4.41,0.016080694018058762,0.8291824290676564,7.21,8.74,7.11,8.82,0.1,90.39,2.79,2.11,13.0,0.05212278966439872,0.057860348077947,0.5226239322455948,0
1057,16.71,0.35642788068617776,4.03,0.016569044933106188,0.8960650595956048,5.54,11.54,7.21,7.57,-0.12,85.14,3.92,0.71,5.5,0.05860289452468687,0.3350527335982871,0.2434567783283485,0
1068,90.83,0.4563407808358281,21.23,0.011940788325560977,0.8216927413134746,5.38,13.28,7.17,8.79,0.32,72.18,9.33,2.08,30.04,0.09235169906506732,0.09699220605195054,-0.03808913071624482,0
1079,29.71,0.22478919704702366,6.99,0.007675556427741241,0.8215811487754487,10.41,13.4,11.02,12.85,-3.13,62.88,0.92,0.72,-39.15,0.11514031394636505,0.053093183411590215,1.0266363099447378,0
1090,204.57,0.6929086960698089,58.3,0.034001283051922744,0.7799095440532497,-1.24,6.83,2.22,2.83,2.6,89.61,3.84,1.25,5.87,0.1885570556204712,0.05679260414172636,0.0036429952503242713,0
1101,125.93,0.3806335537242584,22.77,0.049043618270630106,0.3619372128472457,4.95,9.58,6.22,15.78,1.37,76.74,3.16,1.56,-9.08,0.19672904128582386,0.16350600679830446,0.15173110414834146,0
1112,46.68,0.08752374729715044,0.0,0.06623973835302505,0.7774422576812403,5.43,4.07,3.74,4.52,-3.67,68.99,1.37,0.94,-10.94,0.08042504131534409,0.08840641744466066,0.7144169327528234,0
1123,71.55,0.4529894548274239,17.83,0.141834755067273,0.6349081616452034,-34.61,-37.09,-23.99,-38.16,0.28,95.35,1.96,1.31,-13.06,0.392326767299339,0.12011662840239536,-0.13984315074276604,0
1134,220.97,0.6383975782208299,43.21,0.0059485659553442675,0.3121149746805349,-0.68,5.48,2.18,5.84,3.39,89.83,4.38,2.06,6.62,0.17973424145685926,0.15344146776634907,-0.009183632669849628,0
1145,83.36,0.4370660287439577,18.04,0.046927637349946816,0.9842467894780466,4.89,12.64,7.32,7.87,0.0,93.65,2.67,1.57,-3.27,0.24245033862994544,0.16155414537421228,-0.018290899707930398,0
1156,89.13,0.2662725608619072,16.36,0.08414874159185515,0.6740835659940739,-2.1,-1.09,-0.8,-1.13,0.88,75.3,1.02,0.43,-24.53,0.09598439508760752,0.1140093465646034,-0.116072479806134,0
1167,165.25,0.6569857281929037,41.84,0.00901900213134106,0.8237440088131285,2.83,13.52,5.34,6.74,2.39,88.32,3.88,1.21,42.98,0.23471090954933685,0.18051700114440172,-0.031693572634398585,0
1178,108.86,0.4688441313464818,20.29,0.08009018584180133,0.8075982794330433,5.97,16.34,8.78,10.9,0.75,78.8,2.97,1.14,34.31,0.27302238713822635,0.16581366650995027,0.1313300797502459,0
1189,37.99,0.3046027207637349,8.42,0.1377588858381812,0.9530860580582636,12.06,19.89,12.96,13.76,-0.85,81.09,1.37,1.0,5.1,0.4212347210963101,0.19366994805709886,-0.3818722379463736,0
1200,272.86,0.7244663667831899,45.51,3.85018740335992e-05,0.9705681397694228,1.5,13.38,4.34,4.54,1.89,97.58,8.68,1.28,44.22,0.10519208938145452,0.13775893380338508,0.12975239695181284,0
1211,132.66,0.4713683546362015,38.67,0.0207769384897974,0.9747846612094792,3.49,11.19,5.69,5.88,5.22,58.53,6.41,0.49,29.52,0.10133782717032963,0.11903190802880732,0.09366622321071216,0
1222,115.16,0.5718578143918995,46.91,0.06548580591671241,0.7683911057572297,1.19,12.88,5.26,6.95,5.0,78.09,1.12,0.77,-17.84,0.0,0.05842306857501935,-0.2306296525116841,0
1233,81.92,0.5391033771847883,33.9,0.012506193155634485,0.9863591731642328,0.41,16.6,7.44,7.81,11.51,40.79,0.77,0.44,-9.99,1.0990527534433798,0.2374271231114793,0.052169521806571216,0
1244,34.7,0.21679363214411704,0.61,0.3477857565369482,0.9202985026185536,-2.94,-2.76,-2.11,-2.25,-1.04,92.92,2.05,1.37,-18.88,0.1501380641565578,0.04905350537947914,-0.2175904647490651,0
1255,47.68,0.11421572065984074,1.18,0.014911801506183053,0.7787712079725093,0.25,-1.45,-1.26,-1.43,-3.45,73.22,0.89,0.5,-8.82,0.2907603001912477,0.09436404274511148,0.31488395786734924,0
1266,79.44,0.1402430416307015,0.0,0.03599851532583955,0.4392034529444544,4.53,4.59,4.0,4.2,-1.66,65.14,2.89,0.99,-2.75,0.09509557740927503,0.012449055704672477,0.5259417405202533,0
1277,86.83,0.2481890814327484,17.3,0.05335084370804951,0.5349886767515567,4.71,5.84,4.08,8.87,-1.48,89.27,2.32,1.31,-2.68,0.19384057874512475,0.07137107585353011,0.07235177543469726,0
1288,37.71,0.053666328260137695,0.68,0.09499496321636457,0.8763107959264256,10.93,11.13,10.15,10.96,-2.63,64.68,1.31,0.83,38.63,0.15042757871080945,0.06068797011386979,0.9966558423014428,0
1299,58.3,0.31862494052927504,5.42,0.04607251800815287,0.8688473562253088,9.61,11.63,8.1,9.42,-0.59,87.87,2.68,1.18,16.61,0.1867749860011955,0.2100797761082364,0.2356165231557238,0
1310,73.37,0.16513064946060227,12.94,0.032337333621986535,0.5435688258283554,2.72,2.77,2.41,4.59,-3.64,59.52,1.33,0.77,36.65,0.08612574455820925,0.050548724004897294,0.3074377682398037,0
1321,41.71,0.2970253465466518,25.48,0.07931468203810002,0.7740845813270272,-6.12,12.28,8.93,10.9,0.83,68.16,1.05,0.85,18.26,0.7731759786707058,0.020073370572160677,-0.5689216490727412,0
1332,91.91,0.3616308352260069,24.87,0.01997301761830133,0.8492479195007657,3.0,6.09,3.84,4.46,1.17,57.33,2.34,0.8,-5.01,0.2154984170274885,0.06375621784097216,0.25040339906646936,0
1343,33.45,0.3210446240225801,2.87,0.1995137621468514,0.804816640526374,9.91,20.93,13.45,16.86,0.0,49.45,2.48,1.6,6.38,0.06163584008306368,0.2819814285419817,0.49089634448651204,0
1354,112.0,0.2940363274374989,15.27,0.02844384548836256,0.6520633549041328,27.91,0.87,0.67,0.95,-0.21,86.29,3.32,1.22,-6.0,0.19943259919946232,0.09091700057170424,-0.015802542725663258,0
1365,29.39,0.6218353882711544,56.14,0.02156900949137921,0.9192593275564612,8.08,27.76,10.84,11.71,0.0,60.69,0.83,0.79,28.83,0.018832876315880633,0.013527397668779705,-0.20730048971152787,0
1376,101.28,0.4256931444622416,27.03,0.07028861081555758,0.6354534049195216,-50.54,-20.56,-11.18,-18.48,6.55,80.26,1.42,0.82,-41.17,0.2980017773514009,0.07122459523568657,0.27044458646293074,0
