,총부채증가율,부가가치증가율,고용인증가율,유동비율,당좌비율,유동부채비율,비유동비율,순운전자본비율,부채구성비율,부채비율,차입금의존도,비유동장기적합률,청산가치율,현금성자산비율,이익잉여금비율,자본잉여금비율,매출채권대비매입채무비율,경영자산비율,자기자본순이익률,총자본순이익률,자기자본정상영업이익률,총자본정상영업이익률,경영자본순이익률,경영자본정상영업이익률,매출액순이익률,금융비용부담률,매출액정상영업이익률,매출액판관비율,매출원가율,당좌자산회전률,재고자산회전률,자기자본회전률,총자산회전률,경영자본회전률,비유동자산회전률,매출채권회전률,매입채무회전률,유형자산회전율,부가가치율,설비투자효율,총자본투자효율,총자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,유형자산증가율,유동자산증가율,매출채권회수기간(단위 년),매입채무지급기간(단위 년),영업활동현금흐름대비유동부채비율,영업활동현금흐름대비총부채비율,영업활동현금흐름대비총자산비율,영업이익대비영업현금성자산비율,영업이익대비EBITDA비율,자본잠식률,y
28,-0.09741927246412806,-16.444274193548384,-0.07058823529411765,49.49,38.89,892.9,641.19,-41.64,0.9076745205856496,983.12,64.91,3.3707191594970203,0.11592139022782727,0.0042663185891298255,-4.6945925235969845,2.289912348520183,2.408260284522916,0.8523093425792817,-168.67,-25.04,-64.82,-9.62,-30.38,-11.68,-35.32,6.39,-13.58,0.16988517312137086,96.59,2.1,7.06,4.78,0.71,0.86,1.26,3.89,5.37,1.73,-14.1,-25.68,-11.23,-19.8,-61.73,-16.56,0.0,0.0,-8.67,-29.31,0.35788847293104903,0.15386061802240442,-0.15346286750582078,-0.1393791240168567,-0.12651087957164822,-25.342405903815543,1333.7805336883541,0.7384445201246703,1
29,-0.2158795206778296,-1.9933989147630358,0.5384615384615384,10.03,10.03,441.16,497.44,-73.27,0.8153898259858426,441.68,66.32,4.948396902212303,0.2979930551217767,0.0064322341944839595,-4.655054964686826,3.6105529816704975,16910.1,0.1379258288504962,-126.54,-34.67,5.47,1.5,-155.41,6.72,-71.5,21.42,3.09,0.17869383194871125,79.04,2.95,0.0,1.77,0.48,2.17,0.58,4.06,5.84,8.61,-41.05,-452.18,-25.43,-35.71,-64.19,-58.53,-90.34,0.0,-35.86,-75.9,0.08402188232889081,6.286271223686455e-06,-0.09768219429681184,-0.09756617658994857,-0.07955446775178215,2.9756004183957394,455.7782524922509,0.5149632197435035,1
30,-0.008827127560028236,-1.100023989136348,-0.2948717948717949,52.4,38.73,243.92,295.86,-27.4,0.7639716112815449,323.68,72.36,1.6458957050012821,0.3734979587733573,0.016050805124400925,-0.5887228014440005,1.494753305937892,18.249969013106625,0.9858409749959676,-46.17,-13.09,-29.39,-8.34,-13.42,-8.54,-22.19,7.37,-14.13,0.08727595440081788,105.4,2.58,5.71,2.08,0.59,0.6,0.88,3.09,21.1,0.9,-0.8,-0.75,-0.5,-12.46,-36.48,-3.02,0.0,0.0,-4.05,-26.46,0.3272527270678093,0.017012770009875142,0.04347265908926612,0.03276083895702708,0.025028350924935185,-5.562736681386244,2442.857248024123,-5.970988765702174,1
32,-0.6951167437060523,-0.8347709414215426,-0.6666666666666666,16.55,6.73,331.51,376.66,-64.11,0.7682572364061857,331.51,67.02,3.7666296541818585,0.651485894677938,0.017840849632023276,-6.179622535789258,8.665928547753207,4.201232318517986,0.16735339317500608,-55.21,-14.75,-37.61,-10.05,-68.34,-46.55,-93.01,38.27,-63.36,0.8080428693081166,82.56,1.19,3.76,0.59,0.16,0.73,0.19,5.2,8.28,8.57,-12.17,-129.95,-4.33,-71.32,-76.03,-34.99,0.0,0.0,-32.92,-80.68,0.048132084736868114,0.013877210304080248,-0.3203379267380241,-0.3203379267380241,-0.24610193031184155,-12.633162995955985,1238.7897819625282,-0.19765165230730405,1
33,0.015510293084564053,3.715128904962692,-0.9285714285714286,1.99,1.99,0.0,0.0,-101.06,1.0324103593226377,0.0,90.62,-31.48172607588044,-0.5101985535841709,0.012313378924188444,69.16697605859082,-81.99715872179071,0.0,0.02103933984015853,0.0,-29.84,0.0,-13.23,-247.9,-109.93,-545.67,52.12,-241.97,1.5698884462363891,184.98,1.43,1.27,0.0,0.05,0.45,0.06,6.45,19.44,2.85,-425.17,-51263.05,-27.01,-24.43,0.0,-86.5,0.0,0.0,-98.8,-87.81,0.0,0.009718899737096028,-0.050044003952187686,-0.04998111061341607,-0.05160101636774138,-12.483166760026338,1027.6501692458046,1.1265746741202085,1
34,0.29659518687216696,-1.8572270364228232,0.06481481481481481,36.42,26.76,76.27,148.49,-27.51,0.432677623453596,76.27,39.26,1.484885846476688,2.055445046130445,0.06418139560080759,-0.09832721201978188,1.0222921890987848,2.089683830935125,0.9524655932975008,-43.51,-28.8,-38.03,-25.17,-35.51,-31.04,-118.27,5.94,-103.37,0.6937905516144676,128.85,1.27,4.59,0.37,0.24,0.3,0.32,9.05,26.76,0.35,-55.41,-19.96,-15.29,-21.07,-39.21,-74.01,0.0,0.0,0.46,-60.42,0.07656290352914266,0.028434382826634918,-0.2532391046740974,-0.2532391046740974,-0.10957089397590487,-4.445305753108335,1476.3946795775269,-4.640233697928123,1
35,1.1417735536612708,0.048359003591600766,0.17391304347826084,26.57,17.67,263.19,306.91,-51.28,0.7346414451599859,276.85,49.86,2.7003682057479965,0.6318262279027438,0.03940918858764055,-1.0722919304904142,1.7326438923815723,0.32887399640338466,0.9691043578533468,-67.21,-26.81,-57.18,-22.81,-29.96,-25.49,-57.22,5.49,-48.68,0.43336901502688574,105.34,3.9,8.81,1.17,0.47,0.52,0.57,15.51,6.9,0.6,-30.26,-18.89,-12.71,26.14,-41.0,91.94,0.0,0.0,22.29,48.55,0.08903805511637224,0.2570088954094472,-0.115157023212802,-0.10947671879046617,-0.08042613490360144,-5.187653501664717,1703.7958469953585,-2.3278430030755914,1
36,0.09917110541659073,1.590980289373498,-0.8222222222222222,6.25,6.25,0.0,0.0,-98.8,1.0767979330307391,0.0,76.63,-17.372743550882188,-0.1307349225560459,0.011065141549894748,10.659008460061044,0.0,0.03278319520057734,0.9843329864420874,0.0,-37.64,0.0,-29.03,-40.91,-31.56,-74.76,0.0,-57.67,0.20444584537295435,137.22,5.1,14.17,0.0,0.5,0.55,0.58,20.75,3.29,0.61,-74.76,-48.14,-43.92,-25.01,0.0,4.89,0.0,0.0,-11.2,-73.41,0.011484463515119274,0.25528770845199794,0.0,0.0,0.0,-30.6153292360287,999.9999555474553,1.722247061037821,1
40,-0.6042301877164661,-1.2426322497288795,-0.17454545454545456,311.98,199.56,39.69,71.96,42.97,0.4892667703472032,95.8,0.12,0.4609888911313277,0.4465418682141832,0.15208462751805032,-3.223033870567873,3.7586130264313504,2.756991392976828,0.7703404433457255,-34.67,-14.52,-51.36,-21.5,-25.23,-37.37,-18.84,2.09,-27.91,0.4897363486151292,78.93,1.31,4.99,1.84,0.77,1.34,3.0,5.43,10.23,7.92,6.13,59.48,7.01,-49.2,-30.25,-42.43,0.0,0.0,-31.01,-59.78,0.24395138587002546,0.11210311814748658,-1.2961649164495264,-0.5370613218628296,-0.2627662584262265,-2.098602710184144,1175.0481996019596,-1.1449308097538815,1
41,-0.1364680768221284,-1.0444435074107652,-0.2511013215859031,313.68,223.67,37.14,69.54,42.66,0.4624437403343666,86.03,0.13,0.4670487696207265,0.5309274669573318,0.15669560398004728,-3.9373708782829566,4.079280449304757,5.022461833145306,0.7450620802888189,-57.42,-30.06,-56.82,-29.75,-35.61,-35.23,-31.09,2.5,-30.77,0.5043991996659452,80.33,2.28,4.72,1.85,0.97,1.15,2.61,7.14,12.95,8.4,-0.34,-3.04,-0.34,-8.64,-3.84,-19.12,0.0,0.0,-13.17,-9.55,0.2261059030174439,0.05604333716651007,-0.3426004516304192,-0.14789140063532927,-0.06839145247308999,-1.988114148442555,1150.1769650116355,-0.16284917265733295,1
43,-0.3733801103193932,-1.3383973918779697,-0.7368421052631579,112.15,105.13,84.32,93.98,5.44,0.4696180144518426,88.54,24.59,0.9016697743082276,1.1995414002542641,0.01094804808513525,-3.697330152631885,4.598504031643548,2.8010895780741767,0.5737982007168777,-14.42,-6.34,3.28,1.44,-9.1,2.07,-15.6,9.12,3.54,0.1445340548097217,81.61,1.04,3.67,0.92,0.41,0.58,0.81,2.65,2.91,2.55,41.33,327.68,18.28,-14.95,24.42,10.57,0.0,0.0,-80.81,-14.82,0.7976496131645286,0.3489190578831292,-0.13724822908910966,-0.13069724221657034,-0.061377779384077326,1.43139851004484,425.66730441680863,-3.1459213779340924,1
44,0.07344461008207961,-1.7068031090406957,0.0,113.56,80.45,49.79,94.6,4.47,0.33834263019216515,51.14,17.0,0.9333741248345372,0.8230077395610707,0.010890095117507808,0.008348903631959625,0.1687915716066883,1.2908244099983512,0.5164339932775321,-17.45,-11.67,4.05,2.71,-24.78,5.75,-14.33,2.81,3.32,0.061623900732346075,90.85,3.45,9.18,1.22,0.81,1.73,1.21,4.38,6.95,5.83,-4.48,-27.51,-3.6,2.65,0.4,0.84,-17.59,0.0,-3.27,40.27,0.23212573788890345,0.1979438390526085,0.019021065895206926,0.01851923733071889,0.006265847467628363,2.4533350204432143,744.4280473691489,-0.3631991190171896,1
45,-0.030705893722753744,-2.9600131431488403,0.4,79.88,71.31,192.71,152.21,-12.66,0.6733694884872222,206.16,39.4,1.3417280250674954,0.3011011481570693,0.0007969376055510642,-2.378144419092922,2.8754375288071907,3.789407699201951,0.5454569932313862,-61.13,-25.94,-31.83,-13.51,-46.05,-23.98,-28.42,3.34,-14.8,0.17960852454176024,96.84,2.5,26.41,2.15,0.91,1.62,1.52,4.42,11.21,4.85,-18.02,-1593.73,-19.55,-27.37,-52.12,124.21,0.0,0.0,-97.18,12.38,0.3146060122197272,0.08573336288758898,-0.2962128729605079,-0.2768954716747578,-0.18645296212605975,-201.44113110539845,1099.2689232249145,0.4895229794082196,1
47,1.1489295792496654,1.7476322177308763,0.16666666666666666,109.24,101.8,77.51,93.4,4.02,0.4384303075207043,78.07,33.7,0.92876319666516,1.0494157422158696,0.011144886594378805,-1.7621141510072318,2.674586837633986,9.216920305249161,0.48589996900008703,-79.01,-47.72,1.89,1.14,-89.66,2.15,-72.31,1.92,1.73,0.1382577591184569,84.44,1.42,14.55,1.09,0.66,1.24,1.35,3.24,14.58,83.78,-65.39,-3461.33,-34.99,60.78,34.36,35.28,0.0,0.0,279.5,34.95,0.4076028395272985,0.05237130806321176,-0.33903668561192163,-0.3365792394841814,-0.1475665394721344,0.8317867332173383,527.2121347146411,-0.9582671411594901,1
