,X6,X9,X11,X12,X14,X18,X20,X21,X22,X24,X25,X26,X27,X28,X29,X30,X41,X42,X49,X52,X53,y
8994,35.81,0.3860708768149009,30.75,1.1415420949389776,0.01213172623221804,0.4550833732043738,3.51,6.62,3.84,7.62,5.43,1.7,5.94,0.10951194057492472,88.27,6.19,14.23,8.57,0.05194545447498256,0.09470817074613452,0.0365640665214955,0
8995,33.8,0.3257774749148952,24.19,1.1678698977626016,0.0008070213460003796,0.4309807373405381,4.15,6.0,3.87,8.8,6.98,0.73,6.51,0.12125248308972032,87.36,6.6,13.14,2.22,0.051729578668221685,0.09881970769157893,0.032193234843590615,0
8996,121.24,0.5753633072721546,37.53,0.9388109113167282,0.002723765525077493,0.7824746147489117,2.87,10.69,4.53,5.74,2.28,2.04,3.6,0.21899495109052708,73.84,5.66,12.36,7.2,0.0884540631139936,-0.0034631666281184285,-0.001992579004788775,0
8997,119.08,0.5822701096607603,38.64,0.9543065782277458,0.0075700383771529845,0.7480069694551176,2.19,16.28,6.85,8.95,1.75,2.01,5.47,0.2260111645731637,71.6,5.25,12.85,6.68,0.10779190796145556,0.15520044585451473,0.0903685806271072,0
8998,149.78,0.6285459695447815,41.49,0.9992550931416928,0.01694504315440722,0.7769548535319668,2.7,9.17,3.6,4.63,2.21,1.89,2.95,0.2595015340299205,71.1,4.91,11.65,19.79,0.12849713837685342,-0.07312487619780124,-0.045962346207589086,0
8999,133.96,0.6297064948624259,44.07,0.8828964216597129,0.031998987182625296,0.7747917892562833,0.69,15.4,5.71,7.14,0.59,2.01,4.88,0.3063848160255899,64.49,4.68,11.11,2.61,0.12006910134382995,0.12970479515696431,0.08167595192514095,0
9000,147.34,0.6472855644646845,44.14,0.9117467651299368,0.03731051296532941,0.7745833738070155,1.35,16.68,6.02,7.43,1.1,1.61,4.9,0.31326481725499644,63.77,4.95,12.5,8.7,0.11245699229848384,0.0377480320152111,0.0244337562103969,0
9001,160.5,0.6465534180475949,46.29,0.9928964545125752,0.020039512469715047,0.7801581024172348,1.67,15.96,5.64,6.88,1.32,1.57,4.47,0.3139045365394786,64.14,4.95,12.58,4.34,0.13533576333967792,-0.021843447131553003,-0.014122955404847525,0
9002,140.41,0.6138338250356699,45.01,0.9714881755337048,0.03127586491389652,0.7809071482571471,-0.63,7.46,2.75,3.33,-0.51,1.59,2.2,0.3064337197484684,67.15,4.79,9.98,-10.07,0.11146167441355798,0.1631182623368675,0.10012750690341124,0
9003,160.13,0.6456877524763548,45.18,0.9081978336378304,0.01053183464929347,0.8273826029233657,0.48,10.25,3.8,4.45,0.38,1.63,3.04,0.3220215454187362,64.75,4.7,12.48,-0.8,0.1293840956066053,0.010810316247831629,0.006980088801621025,0
9004,150.39,0.6641606400367593,45.77,0.7331374806370258,0.01820791080902713,0.8504226244280251,0.71,20.62,7.11,8.06,0.5,1.55,5.02,0.3162858715520636,63.36,5.35,13.39,3.3,0.11207301115080802,0.0213974267564126,0.014211328649678669,0
9005,192.5,0.7270629351701204,55.51,0.927308282252658,0.03037212302934555,0.7525650883673363,0.59,23.82,7.17,7.92,0.44,1.92,5.29,0.3242934753743119,62.28,5.91,15.5,23.4,0.08818871243478134,0.0780114583938888,0.056719239916762525,0
9006,196.94,0.6689026955303154,23.22,1.4651928437205235,0.0010108362583969666,0.9563211425223682,0.79,7.42,2.62,3.37,0.66,0.43,2.19,0.04626500693664092,91.21,2.37,10.5,17.35,0.15246019597878618,-0.050471718741101707,-0.03376066871397087,0
9007,198.16,0.7244493470930842,46.81,1.3936533041724914,0.005701723110735518,0.9155503323749454,0.24,4.85,1.46,1.82,0.22,0.73,1.31,0.05477971226785736,93.22,2.71,9.61,18.29,0.16746408783114447,-0.14416218145596724,-0.1044381982312902,0
9008,1817.85,0.949278285295542,44.76,8.774662338102479,0.047361251351744016,0.8865129657537392,-23.15,-21.5,-3.57,-4.03,-29.71,2.05,-4.58,0.09246032346188313,95.34,2.31,-14.21,-5.11,0.08854397834332572,0.1318281659594399,0.12514161533563326,0
9009,2229.49,0.9580338358128312,23.58,8.650318802122277,0.0017310487677101305,0.9022374610843952,0.51,87.89,4.03,4.52,0.38,0.98,2.95,0.050984558480415235,91.95,3.59,13.37,21.99,0.14853310887592447,0.03188305452390065,0.030545045022962174,0
9010,616.11,0.8629885426779851,0.0,3.449334688832584,0.016188536006567885,0.912642404260396,2.36,69.07,6.19,6.83,1.47,0.32,3.86,0.04670543595553011,91.47,3.59,18.31,0.87,0.17369399828913776,0.13295448008880856,0.11473819301435008,0
9011,462.74,0.8257700166906389,0.0,2.5554967420132484,0.043430097351410214,0.917737053747433,5.35,47.01,7.35,8.04,2.63,-0.05,3.61,0.043219419542901434,92.07,4.27,21.88,8.23,0.16547666847723988,0.03391771894907958,0.02800823534268985,0
9012,315.76,0.7646862966435714,10.32,2.0359314068612924,0.005331622099399733,0.9212265908164164,4.11,17.19,3.5,3.82,2.73,-0.13,2.32,0.05286601415174403,92.39,3.42,20.43,-7.61,0.1144594091775415,-0.11999216755164455,-0.09175636623130196,0
